indicator_full_name,indicator,year,geo,numerator,denom,value,blue_bar_label,diff_bar_label,grey_bar_label,summary_sentence,reverse_gap_sentence
"Violent crimes per 1,000 population",Violent crime,2017,"Dupont Circle, Connecticut Avenue/K Street",131,19796,6.6174984845000004,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in Dupont Circle and Connecticut Avenue/K Street than in
"Violent crimes per 1,000 population",Violent crime,2017,"Shaw, Logan Circle",94,18714,5.02297745,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in Shaw and Logan Circle than in
"Violent crimes per 1,000 population",Violent crime,2017,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",146,17153,8.5116306186,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Downtown, Chinatown, Penn Quarters, Mount Vernon Square, and North Capitol Street than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",70,11592,6.038647343,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Southwest Employment Area, Southwest/Waterfront, Fort McNair, and Buzzard Point than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Hawthorne, Barnaby Woods, Chevy Chase",11,14342,0.7669781063,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Hawthorne, Barnaby Woods, and Chevy Chase than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Friendship Heights, American University Park, Tenleytown",19,11906,1.5958340333,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Friendship Heights, American University Park, and Tenleytown than in"
"Violent crimes per 1,000 population",Violent crime,2017,"North Cleveland Park, Forest Hills, Van Ness",7,10551,0.6634442233,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in North Cleveland Park, Forest Hills, and Van Ness than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",8,15374,0.5203590477,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, and Georgetown Reservoir than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Cathedral Heights, McLean Gardens, Glover Park",13,19565,0.6644518272,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Cathedral Heights, McLean Gardens, and Glover Park than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",17,15156,1.1216679863,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Cleveland Park, Woodley Park, Massachusetts Avenue Heights, and Woodland-Normanstone Terrace than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Colonial Village, Shepherd Park, North Portal Estates",8,3847,2.0795425006,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Colonial Village, Shepherd Park, and North Portal Estates than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Takoma, Brightwood, Manor Park",77,20361,3.7817396002,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Takoma, Brightwood, and Manor Park than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Brightwood Park, Crestwood, Petworth",220,36731,5.9894911655,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Brightwood Park, Crestwood, and Petworth than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",75,12790,5.8639562158,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Lamont Riggs, Queens Chapel, Fort Totten, and Pleasant Hill than in"
"Violent crimes per 1,000 population",Violent crime,2017,"North Michigan Park, Michigan Park, University Heights",43,11392,3.7745786517,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in North Michigan Park, Michigan Park, and University Heights than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Edgewood, Bloomingdale, Truxton Circle, Eckington",169,21822,7.7444780497,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Edgewood, Bloomingdale, Truxton Circle, and Eckington than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Brookland, Brentwood, Langdon",153,12699,12.048192771,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Brookland, Brentwood, and Langdon than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Ivy City, Arboretum, Trinidad, Carver Langston",239,14786,16.163938861,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Ivy City, Arboretum, Trinidad, and Carver Langston than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Woodridge, Fort Lincoln, Gateway",39,6668,5.848830234,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Woodridge, Fort Lincoln, and Gateway than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Union Station, Stanton Park, Kingman Park",197,24671,7.9850837015,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Union Station, Stanton Park, and Kingman Park than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Capitol Hill, Lincoln Park",119,28389,4.1917644158,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in Capitol Hill and Lincoln Park than in
"Violent crimes per 1,000 population",Violent crime,2017,"Near Southeast, Navy Yard",16,2794,5.7265569077,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in Near Southeast and Navy Yard than in
"Violent crimes per 1,000 population",Violent crime,2017,Historic Anacostia,81,4990,16.23246493,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in Historic Anacostia than in
"Violent crimes per 1,000 population",Violent crime,2017,"Eastland Gardens, Kenilworth",25,2289,10.921799913,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in Eastland Gardens and Kenilworth than in
"Violent crimes per 1,000 population",Violent crime,2017,"Mayfair, Hillbrook, Mahaning Heights",121,6452,18.753874768,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Mayfair, Hillbrook, and Mahaning Heights than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",221,12806,17.25753553,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Deanwood, Burrville, Grant Park, Lincoln Heights, and Fairmont Heights than in"
"Violent crimes per 1,000 population",Violent crime,2017,"River Terrace, Benning, Greenway, Dupont Park",204,12436,16.403988421,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in River Terrace, Benning, Greenway, and Dupont Park than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Capitol View, Marshall Heights, Benning Heights",189,17801,10.617381046,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Capitol View, Marshall Heights, and Benning Heights than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",180,16320,11.029411765,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, and Fort Dupont than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",56,5961,9.3943969133,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Fairfax Village, Naylor Gardens, Hillcrest, and Summit Park than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",80,7572,10.565240359,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Woodland/Fort Stanton, Garfield Heights, and Knox Hill than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Sheridan, Barry Farm, Buena Vista",116,7957,14.578358678,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Sheridan, Barry Farm, and Buena Vista than in"
"Violent crimes per 1,000 population",Violent crime,2017,"Douglas, Shipley Terrace",135,11919,11.326453562,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in Douglas and Shipley Terrace than in
"Violent crimes per 1,000 population",Violent crime,2017,"Congress Heights, Bellevue, Washington Highlands",337,27989,12.04044446,"crimes per 1,000 people",fewer crimes,n/a,NA,"The violent crime rate is lower in Congress Heights, Bellevue, and Washington Highlands than in"
"Violent crimes per 1,000 population",Violent crime,2017,Walter Reed,6,355,16.901408451000002,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in Walter Reed than in
"Violent crimes per 1,000 population",Violent crime,2017,Rock Creek Park,2,839,2.3837902265,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in Rock Creek Park than in
"Violent crimes per 1,000 population",Violent crime,2017,Saint Elizabeths,18,766,23.498694517,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in Saint Elizabeths than in
"Violent crimes per 1,000 population",Violent crime,2017,Joint Base Anacostia-Bolling,8,4748,1.6849199663,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in Joint Base Anacostia-Bolling than in
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Kalorama Heights, Adams Morgan, Lanier Heights",163,215,0.7581395349,received adequate prenatal care,more,births,"more mothers in Kalorama Heights, Adams Morgan, and Lanier Heights would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Kalorama Heights, Adams Morgan, and Lanier Heights than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",437,739,0.5913396482,received adequate prenatal care,more,births,"more mothers in Columbia Heights, Mt. Pleasant, Pleasant Plains, and Park View would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Columbia Heights, Mt. Pleasant, Pleasant Plains, and Park View than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Howard University, Le Droit Park, Cardozo/Shaw",102,143,0.7132867133,received adequate prenatal care,more,births,"more mothers in Howard University, Le Droit Park, and Cardozo/Shaw would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Howard University, Le Droit Park, and Cardozo/Shaw than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Georgetown, Burleith/Hillandale",98,119,0.8235294118,received adequate prenatal care,more,births,more mothers in Georgetown and Burleith/Hillandale would receive adequate prenatal care each year.,A higher share of mothers receive adequate prenatal care each year in Georgetown and Burleith/Hillandale than in
Births to mothers who received adequate prenatal care,Prenatal care,2016,"West End, Foggy Bottom, GWU",64,100,0.64,received adequate prenatal care,more,births,"more mothers in West End, Foggy Bottom, and GWU would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in West End, Foggy Bottom, and GWU than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Dupont Circle, Connecticut Avenue/K Street",123,162,0.7592592593,received adequate prenatal care,more,births,more mothers in Dupont Circle and Connecticut Avenue/K Street would receive adequate prenatal care each year.,A higher share of mothers receive adequate prenatal care each year in Dupont Circle and Connecticut Avenue/K Street than in
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Shaw, Logan Circle",150,235,0.6382978723,received adequate prenatal care,more,births,more mothers in Shaw and Logan Circle would receive adequate prenatal care each year.,A higher share of mothers receive adequate prenatal care each year in Shaw and Logan Circle than in
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",151,231,0.6536796537,received adequate prenatal care,more,births,"more mothers in Downtown, Chinatown, Penn Quarters, Mount Vernon Square, and North Capitol Street would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Downtown, Chinatown, Penn Quarters, Mount Vernon Square, and North Capitol Street than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",73,133,0.5488721805,received adequate prenatal care,more,births,"more mothers in Southwest Employment Area, Southwest/Waterfront, Fort McNair, and Buzzard Point would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Southwest Employment Area, Southwest/Waterfront, Fort McNair, and Buzzard Point than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Hawthorne, Barnaby Woods, Chevy Chase",109,135,0.8074074074,received adequate prenatal care,more,births,"more mothers in Hawthorne, Barnaby Woods, and Chevy Chase would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Hawthorne, Barnaby Woods, and Chevy Chase than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Friendship Heights, American University Park, Tenleytown",103,120,0.8583333333,received adequate prenatal care,more,births,"more mothers in Friendship Heights, American University Park, and Tenleytown would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Friendship Heights, American University Park, and Tenleytown than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"North Cleveland Park, Forest Hills, Van Ness",79,104,0.7596153846,received adequate prenatal care,more,births,"more mothers in North Cleveland Park, Forest Hills, and Van Ness would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in North Cleveland Park, Forest Hills, and Van Ness than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",103,117,0.8803418803,received adequate prenatal care,more,births,"more mothers in Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, and Georgetown Reservoir would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, and Georgetown Reservoir than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Cathedral Heights, McLean Gardens, Glover Park",182,223,0.8161434978,received adequate prenatal care,more,births,"more mothers in Cathedral Heights, McLean Gardens, and Glover Park would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Cathedral Heights, McLean Gardens, and Glover Park than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",125,150,0.8333333333,received adequate prenatal care,more,births,"more mothers in Cleveland Park, Woodley Park, Massachusetts Avenue Heights, and Woodland-Normanstone Terrace would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Cleveland Park, Woodley Park, Massachusetts Avenue Heights, and Woodland-Normanstone Terrace than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Colonial Village, Shepherd Park, North Portal Estates",26,35,0.7428571429,received adequate prenatal care,more,births,"more mothers in Colonial Village, Shepherd Park, and North Portal Estates would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Colonial Village, Shepherd Park, and North Portal Estates than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Takoma, Brightwood, Manor Park",260,500,0.52,received adequate prenatal care,more,births,"more mothers in Takoma, Brightwood, and Manor Park would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Takoma, Brightwood, and Manor Park than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Brightwood Park, Crestwood, Petworth",457,775,0.5896774194,received adequate prenatal care,more,births,"more mothers in Brightwood Park, Crestwood, and Petworth would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Brightwood Park, Crestwood, and Petworth than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",151,248,0.6088709677,received adequate prenatal care,more,births,"more mothers in Lamont Riggs, Queens Chapel, Fort Totten, and Pleasant Hill would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Lamont Riggs, Queens Chapel, Fort Totten, and Pleasant Hill than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"North Michigan Park, Michigan Park, University Heights",92,136,0.6764705882,received adequate prenatal care,more,births,"more mothers in North Michigan Park, Michigan Park, and University Heights would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in North Michigan Park, Michigan Park, and University Heights than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Edgewood, Bloomingdale, Truxton Circle, Eckington",219,332,0.6596385542,received adequate prenatal care,more,births,"more mothers in Edgewood, Bloomingdale, Truxton Circle, and Eckington would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Edgewood, Bloomingdale, Truxton Circle, and Eckington than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Brookland, Brentwood, Langdon",151,237,0.6371308017,received adequate prenatal care,more,births,"more mothers in Brookland, Brentwood, and Langdon would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Brookland, Brentwood, and Langdon than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Ivy City, Arboretum, Trinidad, Carver Langston",135,285,0.4736842105,received adequate prenatal care,more,births,"more mothers in Ivy City, Arboretum, Trinidad, and Carver Langston would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Ivy City, Arboretum, Trinidad, and Carver Langston than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Woodridge, Fort Lincoln, Gateway",67,112,0.5982142857,received adequate prenatal care,more,births,"more mothers in Woodridge, Fort Lincoln, and Gateway would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Woodridge, Fort Lincoln, and Gateway than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Union Station, Stanton Park, Kingman Park",340,476,0.7142857143,received adequate prenatal care,more,births,"more mothers in Union Station, Stanton Park, and Kingman Park would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Union Station, Stanton Park, and Kingman Park than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Capitol Hill, Lincoln Park",346,469,0.7377398721,received adequate prenatal care,more,births,more mothers in Capitol Hill and Lincoln Park would receive adequate prenatal care each year.,A higher share of mothers receive adequate prenatal care each year in Capitol Hill and Lincoln Park than in
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Near Southeast, Navy Yard",44,63,0.6984126984,received adequate prenatal care,more,births,more mothers in Near Southeast and Navy Yard would receive adequate prenatal care each year.,A higher share of mothers receive adequate prenatal care each year in Near Southeast and Navy Yard than in
Births to mothers who received adequate prenatal care,Prenatal care,2016,Historic Anacostia,41,117,0.3504273504,received adequate prenatal care,more,births,more mothers in Historic Anacostia would receive adequate prenatal care each year.,A higher share of mothers receive adequate prenatal care each year in Historic Anacostia than in
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Eastland Gardens, Kenilworth",22,42,0.5238095238,received adequate prenatal care,more,births,more mothers in Eastland Gardens and Kenilworth would receive adequate prenatal care each year.,A higher share of mothers receive adequate prenatal care each year in Eastland Gardens and Kenilworth than in
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Mayfair, Hillbrook, Mahaning Heights",74,149,0.4966442953,received adequate prenatal care,more,births,"more mothers in Mayfair, Hillbrook, and Mahaning Heights would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Mayfair, Hillbrook, and Mahaning Heights than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",108,248,0.435483871,received adequate prenatal care,more,births,"more mothers in Deanwood, Burrville, Grant Park, Lincoln Heights, and Fairmont Heights would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Deanwood, Burrville, Grant Park, Lincoln Heights, and Fairmont Heights than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"River Terrace, Benning, Greenway, Dupont Park",94,234,0.4017094017,received adequate prenatal care,more,births,"more mothers in River Terrace, Benning, Greenway, and Dupont Park would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in River Terrace, Benning, Greenway, and Dupont Park than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Capitol View, Marshall Heights, Benning Heights",138,327,0.4220183486,received adequate prenatal care,more,births,"more mothers in Capitol View, Marshall Heights, and Benning Heights would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Capitol View, Marshall Heights, and Benning Heights than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",109,232,0.4698275862,received adequate prenatal care,more,births,"more mothers in Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, and Fort Dupont would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, and Fort Dupont than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",39,80,0.4875,received adequate prenatal care,more,births,"more mothers in Fairfax Village, Naylor Gardens, Hillcrest, and Summit Park would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Fairfax Village, Naylor Gardens, Hillcrest, and Summit Park than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",58,157,0.3694267516,received adequate prenatal care,more,births,"more mothers in Woodland/Fort Stanton, Garfield Heights, and Knox Hill would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Woodland/Fort Stanton, Garfield Heights, and Knox Hill than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Sheridan, Barry Farm, Buena Vista",74,171,0.432748538,received adequate prenatal care,more,births,"more mothers in Sheridan, Barry Farm, and Buena Vista would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Sheridan, Barry Farm, and Buena Vista than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Douglas, Shipley Terrace",101,266,0.3796992481,received adequate prenatal care,more,births,more mothers in Douglas and Shipley Terrace would receive adequate prenatal care each year.,A higher share of mothers receive adequate prenatal care each year in Douglas and Shipley Terrace than in
Births to mothers who received adequate prenatal care,Prenatal care,2016,"Congress Heights, Bellevue, Washington Highlands",215,568,0.3785211268,received adequate prenatal care,more,births,"more mothers in Congress Heights, Bellevue, and Washington Highlands would receive adequate prenatal care each year.","A higher share of mothers receive adequate prenatal care each year in Congress Heights, Bellevue, and Washington Highlands than in"
Births to mothers who received adequate prenatal care,Prenatal care,2016,Rock Creek Park,11,12,0.9166666667,received adequate prenatal care,more,births,more mothers in Rock Creek Park would receive adequate prenatal care each year.,A higher share of mothers receive adequate prenatal care each year in Rock Creek Park than in
Births to mothers who received adequate prenatal care,Prenatal care,2016,Joint Base Anacostia-Bolling,81,122,0.6639344262,received adequate prenatal care,more,births,more mothers in Joint Base Anacostia-Bolling would receive adequate prenatal care each year.,A higher share of mothers receive adequate prenatal care each year in Joint Base Anacostia-Bolling than in
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Kalorama Heights, Adams Morgan, Lanier Heights",16,267,0.0599250936,affordable homes sold,more,homes sold,"more homes sold in Kalorama Heights, Adams Morgan, and Lanier Heights would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Kalorama Heights, Adams Morgan, and Lanier Heights than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",18,460,0.0391304348,affordable homes sold,more,homes sold,"more homes sold in Columbia Heights, Mt. Pleasant, Pleasant Plains, and Park View would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Columbia Heights, Mt. Pleasant, Pleasant Plains, and Park View than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Howard University, Le Droit Park, Cardozo/Shaw",4,188,0.0212765957,affordable homes sold,more,homes sold,"more homes sold in Howard University, Le Droit Park, and Cardozo/Shaw would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Howard University, Le Droit Park, and Cardozo/Shaw than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Georgetown, Burleith/Hillandale",2,203,0.0098522167,affordable homes sold,more,homes sold,more homes sold in Georgetown and Burleith/Hillandale would be affordable to the average household of color in DC each year.,A larger share of affordable homes are sold in Georgetown and Burleith/Hillandale than in
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"West End, Foggy Bottom, GWU",31,171,0.1812865497,affordable homes sold,more,homes sold,"more homes sold in West End, Foggy Bottom, and GWU would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in West End, Foggy Bottom, and GWU than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Dupont Circle, Connecticut Avenue/K Street",61,294,0.2074829932,affordable homes sold,more,homes sold,more homes sold in Dupont Circle and Connecticut Avenue/K Street would be affordable to the average household of color in DC each year.,A larger share of affordable homes are sold in Dupont Circle and Connecticut Avenue/K Street than in
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Shaw, Logan Circle",17,351,0.0484330484,affordable homes sold,more,homes sold,more homes sold in Shaw and Logan Circle would be affordable to the average household of color in DC each year.,A larger share of affordable homes are sold in Shaw and Logan Circle than in
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",5,264,0.0189393939,affordable homes sold,more,homes sold,"more homes sold in Downtown, Chinatown, Penn Quarters, Mount Vernon Square, and North Capitol Street would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Downtown, Chinatown, Penn Quarters, Mount Vernon Square, and North Capitol Street than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",31,173,0.1791907514,affordable homes sold,more,homes sold,"more homes sold in Southwest Employment Area, Southwest/Waterfront, Fort McNair, and Buzzard Point would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Southwest Employment Area, Southwest/Waterfront, Fort McNair, and Buzzard Point than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Hawthorne, Barnaby Woods, Chevy Chase",10,178,0.0561797753,affordable homes sold,more,homes sold,"more homes sold in Hawthorne, Barnaby Woods, and Chevy Chase would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Hawthorne, Barnaby Woods, and Chevy Chase than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Friendship Heights, American University Park, Tenleytown",0,180,0,affordable homes sold,more,homes sold,"more homes sold in Friendship Heights, American University Park, and Tenleytown would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Friendship Heights, American University Park, and Tenleytown than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"North Cleveland Park, Forest Hills, Van Ness",16,69,0.231884058,affordable homes sold,more,homes sold,"more homes sold in North Cleveland Park, Forest Hills, and Van Ness would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in North Cleveland Park, Forest Hills, and Van Ness than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",13,191,0.0680628272,affordable homes sold,more,homes sold,"more homes sold in Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, and Georgetown Reservoir would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, and Georgetown Reservoir than in"
